business_name,text,predicted_label,prediction_reason,index,rating,error,name,description,category
Starbucks,drinks r terrible  taste nothing like they should  tasted like water and coffee ground too high priced for that. tea was only thing that tasted as it should,Valid,"The review describes a genuine experience at Starbucks, providing specific feedback about drinks (coffee and tea quality), pricing, and taste. The 2-star rating is consistent with the negative but constructive criticism about the coffee shop's products and services.",,,,Starbucks,,['Coffee stand']
Country Cupboard,Love this place. Kids ate themselves into food comas,Valid,The review describes a genuine dining experience at a buffet restaurant where children enjoyed the food so much they ate until very full ('food comas'). The positive sentiment matches the 5-star rating and is relevant to the restaurant's buffet category.,,,,Country Cupboard,,"['Buffet restaurant', 'Caterer', 'Deli']"
ALDI,Always great,Valid,"The review expresses a positive opinion about the grocery store with a 5-star rating. While brief, 'Always great' is relevant to the business (a grocery store/supermarket) and represents a genuine customer experience.",,,,ALDI,"Retail chain selling a range of grocery items, meat & dairy.","['Grocery store', 'Supermarket']"
Creation Falls,Amazing!,Valid,"The review expresses a positive experience ('Amazing!') with a 5-star rating at a scenic spot/tourist attraction, which is consistent and relevant to the location type.",,,,Creation Falls,,"['Scenic spot', 'Tourist attraction']"
Derby Park Traders Circle,It was clean and neat people friendly,Valid,"The review describes a genuine experience at the location, mentioning cleanliness, organization, and friendly people, which are relevant aspects for a flea market/RV park. The 5-star rating is consistent with the positive feedback.",,,,Derby Park Traders Circle,,"['Flea market', 'RV park']"
Oil Express,I take all my vehicles to Oil Express. Fast friendly service . Get 2.00 off when you check in on Facebook. This is the only place I trust to change my oil.,Valid,"The review describes a genuine experience with the auto repair shop, mentioning fast and friendly service for oil changes. While it mentions a Facebook check-in discount, this appears to be sharing helpful information about an existing promotion rather than advertising an external service.",,,,Oil Express,,['Auto repair shop']
La Taquiza Taqueria,"Great food for the price! Only 5 tables though, so be ready to wait if they are busy! But you can always get takeout!",Valid,"The review provides a genuine experience about the restaurant, mentioning food quality, pricing, seating capacity, wait times, and takeout options. The 5-star rating is consistent with the positive assessment, and the content is directly relevant to dining at this Mexican restaurant.",,,,La Taquiza Taqueria,,['Mexican restaurant']
David & Ashley’s Nursery,Excellent customer service,Valid,"The review provides a genuine assessment of customer service quality at a garden center, with a 5-star rating that is consistent with the positive feedback about excellent service.",,,,David & Ashley’s Nursery,,['Garden center']
Five Below,Cheap stuff and a lot of it,Valid,"The review describes a genuine shopping experience at Five Below, commenting on the affordability and variety of products, which aligns well with the business description of a teen-oriented retail chain offering various items. The 5-star rating is consistent with the positive assessment of 'cheap stuff and a lot of it'.",,,,Five Below,"Teen-oriented retail chain for a large assortment of games, snacks, jewelry, room decor & more.","['Variety store', 'Candy store', 'Fashion accessories store', 'Gift shop', 'Toy store']"
Louisville Manor Adult Books,Cheap adult store,Valid,"The review provides a genuine assessment of the business as an adult store with a negative rating, which is relevant to the location despite the category listing it as a video/movie rental store. The comment 'Cheap adult store' appears to be describing the reviewer's experience or perception of the business quality.",,,,Louisville Manor Adult Books,,"['Video store', 'Movie rental']"
Burger King,Slow!!,Valid,"The review expresses a genuine complaint about service speed at a fast-food restaurant, which is directly relevant to the business. The 2-star rating is consistent with the negative feedback about slow service.",,,,Burger King,"Well-known fast-food chain serving grilled burgers, fries & shakes.",['Restaurant']
Denver Mattress,Salesman was friendly and knowledgeable but not pushy. They have a wide selection of mattresses at all price ranges. Not busy at all on a Saturday night.,Valid,"The review describes a genuine shopping experience at the mattress store, mentioning specific details about the salesman, product selection, pricing, and store atmosphere. The 5-star rating is consistent with the positive feedback about the service and selection.",,,,Denver Mattress,,['Mattress store']
Hi-Five Doughnuts,The Donuts are flipping out of this world delicious!! And the chicken donut sandwich is AMAZING!!:End of story .,Valid,"The review describes a genuine experience at Hi-Five Doughnuts, specifically mentioning their donuts and chicken donut sandwich, which aligns with the business description of a donut shop offering fried chicken. The 5-star rating is consistent with the enthusiastic positive feedback.",,,,Hi-Five Doughnuts,"Small local shop offering custom donuts with unique glazes & toppings, including fried chicken.",['Breakfast restaurant']
Skyline Chili,Skyline is something that one either loves or hates. My family is a Skyline Family and the servers here are always so nice.,Valid,"The review describes a genuine dining experience at Skyline Chili, mentioning the food (which aligns with the restaurant category and description) and service quality. The 5-star rating is consistent with the positive sentiment expressed about being a 'Skyline Family' and praising the servers.",,,,Skyline Chili,Basic sit-down chain known for diner-style dishes garnished with signature Greek chili.,"['Restaurant', 'Diner', 'Fast food restaurant', 'Greek restaurant']"
Hardee's,Super burgers,Valid,The review 'Super burgers' directly relates to Hardee's business as a hamburger restaurant and fast-food chain. The 4-star rating is consistent with the positive sentiment expressed about their burgers.,,,,Hardee's,,['Restaurant']
Back Alley Tattoos,Great art work at reasonable prices. Willing to work with you to find the right design for you. Colby is the bomb!,Valid,"The review describes a genuine experience at the tattoo shop, praising the artwork, pricing, design consultation service, and specifically mentions an artist named Colby. The 5-star rating is consistent with the positive feedback about the tattoo services.",,,,Back Alley Tattoos,,['Tattoo shop']
Southern Express,Pretty Tasty,Valid,"The review provides a genuine opinion about the taste of food at a soul food restaurant, and the 5-star rating is consistent with the positive comment 'Pretty Tasty'.",,,,Southern Express,,"['Soul food restaurant', 'Restaurant']"
Big Lots,"Wide variety.   Everything is well organized, clean and spacious.   I couldn't find prices in just a very few items.   This new store is very nice.   It's not crowded up feeling which is really great.   Nicely laid out.   The cashier was a very nice lady also.",Valid,"The review describes a genuine shopping experience at Big Lots, mentioning specific aspects like store organization, cleanliness, layout, pricing, and staff interaction. The content is directly relevant to the discount/furniture store business and the 4-star rating aligns with the positive feedback about the store experience.",,,,Big Lots,"Chain selling a range of products, such as housewares, grocery items & furniture.","['Discount store', 'Furniture store']"
Starbucks,"Beautiful place, we are glad you can go inside! Good!",Valid,"The review describes a positive experience at the Starbucks location, mentioning the physical space ('Beautiful place') and indoor seating availability, which is relevant to a coffee shop experience. The 5-star rating is consistent with the positive sentiment expressed.",,,,Starbucks,,['Coffee stand']
SweetFrog Premium Frozen Yogurt,"Love the Christian music and the Fully Relying On God theme.  Was amazing when it first opened.  Been going through a lot of changes since new management took over, which lends to fewer visits from our family.  It is still enjoyable experience with nice staff, but it just seems to be missing something as of late.",Valid,"The review describes a genuine experience at the frozen yogurt shop, discussing the atmosphere, management changes, staff, and overall experience. The 4-star rating is consistent with the mixed but generally positive feedback about the establishment.",,,,SweetFrog Premium Frozen Yogurt,"National chain with dozens of flavor combinations of soft-serve frozen yogurt, plus sorbet.","['Frozen yogurt shop', 'Dessert restaurant', 'Dessert shop', 'Ice cream shop', 'Restaurant']"
ALDI,always love shopping here,Valid,"The review expresses a genuine positive shopping experience at ALDI, which is consistent with it being a grocery store/supermarket. The 5-star rating aligns with the positive sentiment expressed in the text.",,,,ALDI,"Retail chain selling a range of grocery items, meat & dairy.","['Grocery store', 'Supermarket']"
Classy & Sassy,Nice store with name brands and a full size selection of 0 though 24 for ladies,Valid,"The review provides a genuine assessment of the consignment shop, describing the store positively and mentioning specific details about the product selection (name brands, size range 0-24 for ladies), which is relevant to the business category and consistent with the 5-star rating.",,,,Classy & Sassy,,['Consignment shop']
Frye's Outdoor Sports,Great place to do business!,Irrelevant,"The review text 'Great place to do business!' is extremely vague and doesn't relate to the sporting goods store's products, services, or customer experience. The phrase suggests a business-to-business context rather than a retail shopping experience, making it irrelevant to what customers would expect from a sporting goods store.",,,,Frye's Outdoor Sports,,"['Sporting goods store', 'Entertainment and recreation']"
Patti's 1880's Settlement,Great service and fantastic food 💯👏🏻,Valid,"The review describes a genuine dining experience with positive feedback about service and food quality. The 5-star rating is consistent with the positive text, and the content is directly relevant to the restaurant's dining services.",,,,Patti's 1880's Settlement,"Homey staple for classic American eats, such as its famed 2-inch pork chops, plus pies for dessert.","['Fine dining restaurant', 'Restaurant']"
Sonic Drive-In,Sometimes there food isn't that fresh,Valid,"The review provides a genuine assessment of the food quality at Sonic Drive-In, which is directly relevant to this fast-food restaurant. The 3-star rating aligns with the mixed feedback about food freshness.",,,,Sonic Drive-In,"Fast-food burger & fries joint with an old-school feel, including retro drive-in service.","['Fast food restaurant', 'Chicken restaurant', 'Hamburger restaurant', 'Ice cream shop', 'Restaurant']"
DUAL - HARDEE'S / RED BURRITO 1501956,Slow,Valid,"The review describes a genuine experience with the service speed at the fast-food restaurant. While brief, 'Slow' is directly relevant to the fast-food service and aligns with the 2-star rating indicating dissatisfaction.",,,,DUAL - HARDEE'S / RED BURRITO 1501956,"Fast-food chain serving fried chicken, big burgers & made-from-scratch breakfast biscuits.","['Fast food restaurant', 'Hamburger restaurant']"
KFC,Good food and friendly service.,Valid,"The review describes a genuine dining experience at KFC with positive feedback about food quality and service, which is relevant to the fast-food restaurant. The 5-star rating is consistent with the positive text.",,,,KFC,"Restaurant chain known for its buckets of fried chicken, plus wings & sides.","['Chicken restaurant', 'Fast food restaurant']"
Walmart Supercenter,Great bargains.,Valid,"The review 'Great bargains' is directly relevant to Walmart Supercenter, as bargains/low prices are a core aspect of Walmart's business model as a department store. The 4-star rating is consistent with the positive sentiment expressed.",,,,Walmart Supercenter,,"['Department store', 'Clothing store', 'Craft store', 'Electronics store', 'Furniture store', 'Grocery store', 'Hardware store', 'Home goods store', 'Sporting goods store', 'Toy store']"
Iron Jungle Family Fitness,Best gym around. Personal trainers are too notch!!,Valid,"The review describes a genuine experience at the gym, praising the facility and personal trainers. The 5-star rating is consistent with the positive feedback, and the content is directly relevant to a fitness/gym business.",,,,Iron Jungle Family Fitness,,['Gym']
Subway,Good subway,Valid,"The review provides a genuine assessment of the Subway restaurant with a positive rating and brief but relevant comment about the food quality, which aligns with the business being a sandwich shop.",,,,Subway,"Casual counter-serve chain for build-your-own sandwiches & salads, with health-conscious options.",['Sandwich shop']
Louisville Nature Center,Gorgeous trails,Valid,"The review describes trails at a nature center, which is directly relevant to the business category (Nature preserve, Hiking area) and description mentioning trails. The 5-star rating is consistent with the positive comment 'Gorgeous trails'.",,,,Louisville Nature Center,"Wildflower garden, pond & trails offering locals a place to relax as well as learn about nature.","['Nature preserve', 'Bird watching area', 'Hiking area', 'Tourist attraction']"
A-Z Mart,Great service,Valid,"The review provides a genuine positive assessment of the service at this store, and the 5-star rating is consistent with the positive comment about 'Great service'.",,,,A-Z Mart,,['Store']
O'Reilly Auto Parts,Only place that had a differential gasket for my truck in stock,Valid,"The review describes a genuine experience of finding a specific auto part (differential gasket) at the store, which is directly relevant to O'Reilly Auto Parts' business as an auto parts store. The 4-star rating is consistent with the positive experience described.",,,,O'Reilly Auto Parts,,"['Auto parts store', 'Auto body parts supplier', 'Car battery store', 'Car repair and maintenance', 'Car stereo store', 'Motorcycle parts store', 'Trailer supply store', 'Truck accessories store']"
AutoZone Auto Parts,They accused my husband of stealing something when he didn't steal anything,Valid,"The review describes a specific negative experience at the auto parts store involving an accusation of theft, which is directly relevant to the business and represents a genuine customer experience.",,,,AutoZone Auto Parts,,"['Auto parts store', 'Car accessories store', 'Car battery store', 'Tool rental service']"
Asian Place Chinese Restaurant,"Nice people, open late Christmas Eve, good value on extra meat. Let's go",Valid,"The review describes a genuine dining experience at the Chinese restaurant, mentioning specific positive aspects like friendly staff, convenient hours, and good value for food portions. The 5-star rating is consistent with the positive feedback.",,,,Asian Place Chinese Restaurant,,['Chinese restaurant']
Arby's,"Terrible service,dry and hard chicken.",Valid,"The review describes a genuine dining experience at Arby's, specifically mentioning the quality of chicken and service. The 1-star rating is consistent with the negative feedback about food quality and service.",,,,Arby's,"Fast-food chain, known for its roast beef, serving up hot & cold sandwiches, fries & shakes.","['Fast food restaurant', 'American restaurant', 'Deli', 'Takeout Restaurant', 'Sandwich shop']"
Meadowthorpe Barber Shop,Best barber shop in town!,Valid,The review provides a positive assessment of the barber shop service with a 5-star rating that matches the enthusiastic text. The content is directly relevant to the business category and name.,,,,Meadowthorpe Barber Shop,,['Barber shop']
Bourbon Academy Tasting Room,Nice place for an airport!,Irrelevant,The review mentions 'airport' which is completely unrelated to a restaurant/bar business. The comment appears to be about an airport location rather than the bourbon tasting room experience.,,,,Bourbon Academy Tasting Room,,"['Restaurant', 'Bar']"
Quaker Steak & Lube,My daughters steak was way overcooked. It took forever to get it corrected. The waitress tried. I gave my daughter my meal so she could eat with her siblings. Everyone was finished when they got it corrected so we had totakw it home. Good food other than that.,Valid,"The review describes a genuine dining experience at the restaurant, mentioning specific issues with food preparation (overcooked steak), service timing, and staff response. The content is directly relevant to the restaurant's food and service quality, and the 3-star rating is consistent with the mixed experience described.",,,,Quaker Steak & Lube,"Chicken wings & many spicy sauces star on the American menu at this casual, automotive-themed chain.",['Restaurant']
Flowers Baking Co,Friendly employees amazing prices,Valid,"The review provides a genuine assessment of the bakery experience, mentioning friendly employees and good prices, which are relevant aspects of a bakery business. The 5-star rating is consistent with the positive feedback.",,,,Flowers Baking Co,,['Outlet store']
Trader Joe's,I like Trader Joe’s.  The prices are excellent and it’s a small focused shopping expedition.  Friendly staff,Valid,"The review describes a genuine shopping experience at Trader Joe's, mentioning specific aspects like prices, shopping experience, and staff friendliness. The 5-star rating is consistent with the positive feedback, and the content is clearly relevant to a grocery store.",,,,Trader Joe's,,"['Grocery store', 'Cheese shop', 'Florist', 'Health food store', 'Natural goods store', 'Produce market', 'Supermarket', 'Wine store']"
Pancho Villa Grill Cantina Inc,Been on point.,Valid,"The review expresses a positive experience ('Been on point') which is relevant to a Mexican restaurant, and the 5-star rating is consistent with the positive sentiment.",,,,Pancho Villa Grill Cantina Inc,,['Mexican restaurant']
Franciscan Kitchen / Franciscan Shelter House,Serves good lunch daily,Valid,"The review describes a genuine experience with the food service at this non-profit organization, which aligns with the business being a shelter house that serves meals. The 5-star rating is consistent with the positive assessment of the lunch service.",,,,Franciscan Kitchen / Franciscan Shelter House,,['Non-profit organization']
Tractor Supply Co.,Great store to much for the family to buy!!!,Valid,"The review expresses a positive experience at Tractor Supply Co. with a 5-star rating. Despite some typos ('to much' likely meaning 'too much'), the review indicates the store offers a wide variety of items for families to purchase, which aligns with the business description of agricultural supplies, tools, and other merchandise.",,,,Tractor Supply Co.,"Chain with a wide variety of agricultural & livestock supplies, plus tools, workwear & boots.","['Home improvement store', 'Animal feed store', 'Garden center', 'Hardware store', 'Lawn mower store', 'Pet supply store', 'Propane supplier']"
Flying J Travel Center,the first gas station I have ever felt comfortable in on a road trip. the people behind the counter we're very sweet and greeted us when we came in. the coffee bar was amazing with tons of different coffees and flavors. it's also super clean and there were fresh flowers in the bathroom. we're definitely coming back this way as our pit stop!,Valid,"The review describes a genuine experience at the travel center, mentioning specific details like the staff, coffee bar, cleanliness, and bathroom amenities. The 5-star rating is consistent with the positive experience described, and the content is clearly relevant to a truck stop/gas station business.",,,,Flying J Travel Center,,"['Truck stop', 'Convenience store', 'Gas station']"
Wasabi Express,House shrimp dinner was better than the jumbo shrimp dinner.,Valid,"The review describes a genuine dining experience comparing two specific menu items (house shrimp dinner vs jumbo shrimp dinner) at the restaurant, with a reasonable 4-star rating that aligns with the content.",,,,Wasabi Express,"Casual, contemporary Japanese eatery offering sushi, hibachi & more for dine-in or carryout.","['Sushi restaurant', 'Japanese steakhouse']"
Dollar General,Great customer service,Valid,"The review provides a genuine assessment of the customer service experience at Dollar General, which is directly relevant to the retail store. The 4-star rating is consistent with the positive feedback about service quality.",,,,Dollar General,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.","['Dollar store', 'Convenience store', 'Discount store', 'Drug store', 'Grocery store']"
Car-X Tire & Auto,took in the coupon from my mail- they didnt apply it and added charges for some reason-wasnt worth going nor will i again.,Valid,"The review describes a genuine experience at the auto repair shop, mentioning specific issues with coupon application and unexpected charges. The 1-star rating is consistent with the negative experience described, and the content is directly relevant to the business category and services.",,,,Car-X Tire & Auto,,"['Auto repair shop', 'Car repair and maintenance', 'Tire shop']"
Rafferty's Restaurant & Bar of Elizabethtown,"Server was great. Inside seemed a little run down. Snapper a little over cooked, not editable. Medium steak was very close to rare. Prices seemed higher, but it has been a while since I've eaten at a Rafferty's. And it will be a long while before I return. It wasn't a terrible experience, we enjoyed our evening.",Valid,"The review describes a genuine dining experience at the restaurant, mentioning specific details about the server, food quality (snapper, steak), pricing, and overall atmosphere. The 4-star rating is consistent with the mixed but generally positive experience described.",,,,Rafferty's Restaurant & Bar of Elizabethtown,"Laid-back regional chain for burgers, steaks & other American staples, with a kids' menu & full bar.","['American restaurant', 'Bar', 'Restaurant']"
Mel Owen Music,Great professional & courteous service,Valid,"The review provides a genuine assessment of the service quality at a musical instrument store, with positive feedback that is relevant to the business and consistent with the 5-star rating.",,,,Mel Owen Music,,['Musical instrument store']
Blue Sushi Sake Grill,Great food! Awesome service!,Valid,"The review provides a genuine positive experience about the food and service at a sushi restaurant, with a 5-star rating that matches the positive sentiment expressed.",,,,Blue Sushi Sake Grill,,['Sushi restaurant']
Burger King,Love burger king ever since I was little now they make my favorite sandwich s,Valid,"The review describes a genuine positive experience with Burger King, expressing long-term loyalty and appreciation for their sandwiches. The 5-star rating is consistent with the positive sentiment, and the content is directly relevant to the fast-food restaurant.",,,,Burger King,"Well-known fast-food chain serving grilled burgers, fries & shakes.",['Restaurant']
Burger King,Cold everything! No wonder things are a dollar here at this franchise!,Valid,"The review describes a genuine dining experience at Burger King, complaining about cold food and relating it to the low prices. The 1-star rating is consistent with the negative experience described, and the content is directly relevant to the restaurant's food quality and service.",,,,Burger King,"Well-known fast-food chain serving grilled burgers, fries & shakes.",['Restaurant']
Rally's,Really good,Valid,"The review provides a positive assessment ('Really good') that is directly relevant to Rally's as a fast-food restaurant. The 5-star rating is consistent with the positive text, indicating a genuine dining experience.",,,,Rally's,"Chain eatery serving fast-food classics like burgers, hot dogs, french fries & shakes.","['Restaurant', 'American restaurant', 'Chicken restaurant', 'Fast food restaurant', 'Hamburger restaurant', 'Sandwich shop']"
Little Caesars Pizza,Customer service could use improvement,Valid,"The review provides a genuine evaluation of the customer service at Little Caesars Pizza, which is directly relevant to the business. The 4-star rating with constructive feedback about service improvement is consistent with a legitimate customer experience.",,,,Little Caesars Pizza,"Carry-out chain featuring chicken wings, signature breadsticks & pizza tossed from housemade dough.","['Pizza restaurant', 'American restaurant', 'Chicken wings restaurant', 'Fast food restaurant', 'Pizza delivery', 'Pizza Takeout']"
Steak 'n Shake,This has to be the dirtiest Steak n shake in the state.  The floor was filthy.   The tables were sticky.  And worse of all my glass of water had chocolate syrup still on the inside where it wasn't washed out.   The staff seemed far more interested with hanging out and talking (including the manager) than actually waiting on a table or cleaning the place.   I WILL NEVER GO BACK!,Valid,"The review describes a specific dining experience at Steak 'n Shake with detailed complaints about cleanliness, service, and staff behavior. Despite the negative sentiment and 1-star rating, the reviewer clearly visited the location and provides concrete observations about the restaurant's condition and service quality.",,,,Steak 'n Shake,Chain known for steakburgers & milkshakes offering a dinerlike space with retro flair.,"['Hamburger restaurant', 'American restaurant', 'Breakfast restaurant']"
Lee's Famous Recipe Chicken,When you need that down home.meal,Valid,"The review mentions 'down home meal' which directly relates to the restaurant's comfort food offerings described in the business description. The 5-star rating is consistent with the positive sentiment, and the content is relevant to the dining experience at this chicken restaurant.",,,,Lee's Famous Recipe Chicken,"Counter-service chain offering honey-dipped chicken, biscuits & other comfort food.",['Chicken restaurant']
Office Depot,Lindsey in the print department does an excellent job doing canvas prints.,Valid,"The review describes a genuine experience with a specific service (canvas prints) and employee (Lindsey) in the print department, which aligns with Office Depot's copy center services mentioned in the description and 'Copy shop' category. The 5-star rating is consistent with the positive feedback.",,,,Office Depot,,['Corporate office']
Kentucky Lake Trailer Sales,Good selection and friendly service,Valid,"The review provides a genuine assessment of the trailer dealer's selection and service quality, with a 4-star rating that aligns with the positive feedback about 'good selection and friendly service'.",,,,Kentucky Lake Trailer Sales,,['Trailer dealer']
Sea Sushi & Grill,"Great sushi at good prices, good for families",Valid,"The review provides a genuine assessment of the sushi restaurant, mentioning food quality, pricing, and suitability for families, which directly relates to the business category and description.",,,,Sea Sushi & Grill,"Festive Pan-Asian eatery offering creative sushi & traditional mains in a roomy, contemporary space.","['Sushi restaurant', 'Japanese restaurant']"
Malone's Palomar,Quality food a little pricey but well worth it. During this crisis they have gone above and beyond to make sure that the food is safe and served fresh and hot. Very friendly staff.,Valid,"The review describes a genuine dining experience at the steakhouse, mentioning food quality, pricing, safety measures, and staff friendliness. The 4-star rating is consistent with the positive text, and the content is directly relevant to the restaurant's services.",,,,Malone's Palomar,"Prime cuts & a bottomless-salad deal, plus gluten-free options, mark this informal steakhouse chain.","['American restaurant', 'Restaurant', 'Steak house']"
Starbucks,Great place,Valid,"The review provides a positive assessment of the location with a 5-star rating that matches the positive sentiment. While brief, 'Great place' is directly relevant to evaluating the Starbucks coffee shop experience.",,,,Starbucks,,['Coffee stand']
Tower Hill Plaza,One of my favorite restaurants is located here. Ft Wright Restaurant.,Valid,"The review is relevant to Tower Hill Plaza as a shopping mall, mentioning a specific restaurant (Ft Wright Restaurant) located within the plaza. This describes a genuine experience with the location and provides useful information about businesses within the mall.",,,,Tower Hill Plaza,,['Shopping mall']
Waffle House,Good for hangovers lol,Valid,"The review shares a genuine experience about the restaurant being good for hangovers, which is relevant to a diner/breakfast restaurant that serves comfort food. The casual tone and 3-star rating are consistent with a real customer experience.",,,,Waffle House,"Simple chain spot offering American diner fare & all-day breakfast, including signature waffles.","['Restaurant', 'American restaurant', 'Breakfast restaurant', 'Diner', 'Family restaurant', 'Takeout Restaurant']"
Four Points by Sheraton Louisville Airport,Great bar with excellent bourbon and craft beer selection. Very nice workout facility. Very close to the airport and planes fly constantly all-night long. Over gosh clod seriously this cannot be little on,Valid,"The review describes genuine experiences at the hotel including the bar, workout facility, and proximity to the airport. Despite some unclear text at the end, the main content is relevant to the hotel's amenities and location, and the 4-star rating is consistent with the mixed positive feedback.",,,,Four Points by Sheraton Louisville Airport,"Unfussy rooms, studios & suites offering a simple restaurant with a bar, plus a heated indoor pool.","['Hotel', 'Indoor lodging', 'Meeting planning service']"
McDonald's,My grandson simply loves this place😊,Valid,"The review describes a genuine experience related to McDonald's, mentioning that the reviewer's grandson loves the place. This is relevant to the fast-food restaurant and reflects a positive dining experience, with the 5-star rating consistent with the positive sentiment.",,,,McDonald's,"Classic, long-running fast-food chain known for its burgers, fries & shakes.","['Fast food restaurant', 'Breakfast restaurant', 'Coffee shop', 'Hamburger restaurant', 'Ice cream shop', 'Restaurant', 'Salad shop', 'Sandwich shop']"
Burger King,Great burgers,Valid,"The review describes a positive experience with the food at Burger King, which is directly relevant to the restaurant's business. The 5-star rating is consistent with the positive comment about 'Great burgers'.",,,,Burger King,"Well-known fast-food chain serving grilled burgers, fries & shakes.",['Restaurant']
Michaels,Great place to go but very disappointed in their paint selection. Need to add a better option for customers.,Valid,"The review describes a genuine experience at Michaels, specifically commenting on the paint selection which is directly relevant to an art supply store. The 3-star rating is consistent with mixed feedback (positive about the place overall but disappointed with one aspect).",,,,Michaels,Chain retailer carrying art & hobby supplies plus home decor (most offer classes & custom framing).,"['Craft store', 'Art supply store', 'Picture frame shop', 'Yarn store']"
Cattleman's Roadhouse,Great food and service.,Valid,"The review provides a genuine positive assessment of the restaurant's food and service, which is directly relevant to the steakhouse/American restaurant business. The 5-star rating is consistent with the positive feedback.",,,,Cattleman's Roadhouse,"Down-home steakhouse featuring hand-cut meats, plus burgers & other American eats in a casual space.",['Steak house']
