business_name,text,predicted_label,prediction_reason,name,description,category
Sun Cleaners,They did a good job on my shirts they were a little expensive though,Valid,"The review describes a genuine experience at the dry cleaning business, mentioning both service quality and pricing, which are relevant to the business category and services offered.",Sun Cleaners,,"['Dry cleaner', 'Cleaners', 'Clothing alteration service', 'Laundry', 'Laundry service']"
Butte Plaza Mall,Not much left in the mall anymore,Irrelevant,"The review text 'Not much left in the mall anymore' describes a negative situation (emptiness/decline) but is paired with a 5-star rating, creating an extreme inconsistency. The vague comment combined with the contradictory rating suggests low relevancy to providing genuine feedback about the shopping mall experience.",Butte Plaza Mall,,['Shopping mall']
Taco Del Sol West,"Great food, fast service, and clean lobby.",Valid,"The review describes a genuine dining experience at the Mexican restaurant, mentioning food quality, service speed, and cleanliness, which are all relevant to the business. The 5-star rating is consistent with the positive feedback.",Taco Del Sol West,"Local Mexican counter-serve chain offering tacos, burritos & beer in a casual, colorful space.",['Restaurant']
Flathead National Forest,"Drove through here on our way to Glacier NP. Stunning. Trees as far as the eye could see. A lot of lakes. Next time we go to Glacier, I plan to spend some time in Flathead.",Valid,"The review describes a genuine experience visiting Flathead National Forest, mentioning specific observations about the scenery (trees, lakes) and expressing future plans to spend more time there. The 4-star rating is consistent with the positive experience described, and the content is directly relevant to the national forest location.",Flathead National Forest,"2.4 million acres of mountains & wilderness for hiking, camping, rafting, snowmobiling & skiing.","['National forest', 'Tourist attraction']"
Between the Worlds,Absolutely love this store,Valid,"The review expresses genuine positive sentiment about the store with a 5-star rating that matches the enthusiastic text. While brief, the review is relevant to the metaphysical supply store business.",Between the Worlds,,['Metaphysical supply store']
Wally and Buck,"So happy they finally have a brick & mortar! Best “quick” burger in town. Seating area is small, but cozy. Highly recommend if you’re looking for a quick bite + beer/wine/cider",Valid,"The review describes a genuine dining experience at the restaurant, mentioning specific details about the food (burgers), atmosphere (small but cozy seating), and beverages offered. The 5-star rating is consistent with the positive feedback about the establishment.",Wally and Buck,,"['Restaurant', 'Hamburger restaurant']"
Hav-A-Java Expresso To Go,Good coffee,Valid,"The review provides a relevant assessment of the coffee quality at a coffee shop, with a 5-star rating that aligns with the positive comment 'Good coffee'.",Hav-A-Java Expresso To Go,,['Coffee shop']
Taco Bell,"Great place to eat, don't go through the drive through if you can help it because it takes quite awhile (20~ minutes) after like 7:30 until around 11",Valid,"The review provides a genuine experience about eating at Taco Bell, including specific advice about drive-through wait times during certain hours. The content is directly relevant to the fast-food restaurant and offers helpful information for future customers.",Taco Bell,"Fast-food chain serving Mexican-inspired fare such as tacos, quesadillas & nachos.","['Fast food restaurant', 'Breakfast restaurant', 'Burrito restaurant', 'Lunch restaurant', 'Takeout restaurant', 'Mexican restaurant', 'Restaurant', 'Taco restaurant', 'Tex-Mex restaurant', 'Vegetarian restaurant']"
Buffalo Wild Wings,"The beef in my hamburger smelled and tasted awful. Almost like it was bad... won't ever buy another burger here.

Service twice in a row from same server who is not very good at her job. She is forgetful, slow, and dismissive toward you.

Not sure why we keep coming back.",Valid,"The review describes genuine dining experiences at Buffalo Wild Wings, including specific details about food quality (hamburger), service issues with a server, and multiple visits. The 2-star rating aligns with the negative feedback about food and service.",Buffalo Wild Wings,Lively sports-bar chain dishing up wings & other American pub grub amid lots of large-screen TVs.,"['Chicken wings restaurant', 'American restaurant', 'Bar & grill', 'Takeout Restaurant', 'Restaurant', 'Sports bar']"
James Bar,Nice environment good help,Valid,"The review provides a genuine assessment of the bar experience, mentioning 'nice environment' and 'good help' which are relevant to a bar's service and atmosphere. The 4-star rating is consistent with the positive feedback.",James Bar,"Straightforward hangout serving beer, whiskey & wine, plus burgers & other hearty American fare.",['Bar']
Red Lodge Pizza Co,Good food at reasonable price,Valid,"The review provides a genuine assessment of the dining experience, commenting on both food quality and pricing which are relevant to a pizza restaurant. The 4-star rating is consistent with the positive but brief feedback.",Red Lodge Pizza Co,Basic pizza joint offering specialty pies and gluten-free options along with a salad bar.,"['Pizza restaurant', 'Hamburger restaurant', 'Ice cream shop', 'Takeout Restaurant', 'Restaurant']"
Gary & Leo's Fresh Foods IGA,Hands down the best grocery store in Florence.,Valid,"The review provides a genuine opinion about the grocery store, with the 5-star rating consistent with the positive assessment. The text is directly relevant to the business category (grocery store/supermarket).",Gary & Leo's Fresh Foods IGA,,"['Grocery store', 'Supermarket']"
Smoker Friendly,"This is a great picturesque campground. Most of the sites have a good few of the lake and you have 3 different trailheads to choose from. Great place to hike, fish and kayak. Beware that these campsites or not very camper friendly. Not much flat ground to choose from and you have to angle anything bigger than a 20' to fit.",Irrelevant,"The review describes a campground experience with lakes, hiking trails, and camping sites, which is completely unrelated to 'Smoker Friendly', a tobacco/cigar shop that sells smoking supplies and accessories.",Smoker Friendly,"Chain retailer of cigarettes, cigars & pipe tobacco, plus electronic smoking supplies & accessories.","['Tobacco shop', 'Cigar shop', 'Lottery retailer', 'Store', 'Vaporizer store']"
Hanging Five Restaurant,Good food usually busy.,Valid,"The review provides a genuine assessment of the restaurant experience, commenting on food quality and atmosphere (busy), which is relevant to a family restaurant. The 5-star rating is consistent with the positive 'good food' comment.",Hanging Five Restaurant,"Family-friendly diner serving breakfast, lunch & diner all day, with beer, wine & slot machines.","['Family restaurant', 'Casino', 'Restaurant']"
"Archie Cochrane Motors, Inc.",I wouldn't let these guys give me a vehicle let alone sell me one. Worst experience I've ever had with a dealership in my life.,Valid,"The review describes a genuine negative experience with the dealership, providing specific feedback about their service quality. The 1-star rating is consistent with the strongly negative sentiment expressed about their experience with the Ford dealer.","Archie Cochrane Motors, Inc.",,['Ford dealer']
Lane Bryant,"Unfortunately I need the larger sizes, but the staff is really nice and helpful and the clothes are well made.",Valid,"The review describes a genuine shopping experience at Lane Bryant, mentioning the staff's helpfulness and clothing quality. The content is directly relevant to the business (plus-size women's clothing store), and the 4-star rating aligns with the positive feedback about staff and product quality.",Lane Bryant,"Women's clothing chain with fashionable plus-size clothing, lingerie, shoes & accessories.","['Plus size clothing store', 'Clothing store', 'Fashion accessories store', 'Lingerie store', ""Women's clothing store""]"
The Garage Soup Shack & Mesquite Grill,"Best soup in town, amazingly fresh and large salads, and sandwiches that are to die for. Very pleasant staff too.",Valid,"The review describes a genuine dining experience with specific details about the food offerings (soup, salads, sandwiches) and service quality, which directly relates to the restaurant's description and category. The 5-star rating is consistent with the positive feedback.",The Garage Soup Shack & Mesquite Grill,"Eatery serving a rotating lineup of soups, sandwiches & beer in a low-key, retro space.","['Grill', 'Restaurant', 'Soup restaurant']"
Spark1 Missoula,The people are great the products are awesome its a great place all around,Valid,"The review describes a genuine experience at the cannabis store, praising both the staff ('people are great') and products ('products are awesome'), which is directly relevant to the business category and provides a legitimate customer perspective.",Spark1 Missoula,,['Cannabis store']
Logan Pass Visitor Center,Feels like winter in summer.. hidden trail was awesome,Valid,"The review describes a genuine experience at Logan Pass Visitor Center, mentioning the weather conditions and discovering a trail, which aligns with the location being a visitor center with nature trails. The 5-star rating is consistent with the positive experience described.",Logan Pass Visitor Center,"Visitor facility atop Logan Pass, with a nature trail & interpretive exhibits on alpine wildlife.","['Visitor center', 'Tourist attraction', 'Tourist information center']"
Rikki's Bar & Restaurant,Great place to get a drink and catch up with friends.,Valid,"The review describes a genuine experience at the bar/restaurant, mentioning getting drinks and socializing with friends, which is directly relevant to the business category and description. The 4-star rating is consistent with the positive sentiment expressed.",Rikki's Bar & Restaurant,"Unfussy restaurant serving pizzas, pastas, salads, sandwiches & sweets plus beer, wine & cocktails.","['Restaurant', 'Bar', 'Italian restaurant', 'Live music bar', 'Pizza restaurant']"
Bitney's Furniture,Great service,Valid,"The review provides a positive assessment of the service at a furniture store, which is directly relevant to the business. The 5-star rating is consistent with the positive comment 'Great service'.",Bitney's Furniture,,"['Furniture store', 'Amish furniture store', 'Bedroom furniture store', ""Children's furniture store"", 'Furniture repair shop', 'Lighting store', 'Mattress store', 'Office furniture store', 'Outdoor furniture store', 'Rustic furniture store']"
King Arthur Park,"My daughter lives here, I go here everyday.",Valid,"The review describes a genuine personal connection and regular visits to the mobile home park, which is relevant to the location. The 5-star rating is consistent with the positive sentiment of someone who visits daily.",King Arthur Park,,['Mobile home park']
Fuddruckers,"Solid product, great atmosphere.  Love the wide-open layout.",Valid,"The review describes a genuine dining experience at Fuddruckers, mentioning the product quality, atmosphere, and layout. The 4-star rating is consistent with the positive feedback, and the content is relevant to a hamburger restaurant.",Fuddruckers,"Family-friendly chain for burgers on housemade sesame seed buns, plus salads & shakes.","['Hamburger restaurant', 'American restaurant', 'Caterer', 'Fast food restaurant']"
The Great Northern Brewing Company,Awesome place to come have a beer!  Good selection of tasty house made beers. They have a bar both upstairs (with a street front balcony) and a comfy lounge style on the main floor.,Valid,"The review describes a genuine experience at the brewery, mentioning specific details about the beer selection, house-made beers, and the layout with upstairs bar and main floor lounge. The 5-star rating is consistent with the positive experience described, and the content is highly relevant to a brewery business.",The Great Northern Brewing Company,"Sleek brewery with summer tours & a pub serving its house craft beers, local wine & light bites.","['Brewery', 'Beer store']"
Chuck E. Cheese,This was a wonderful spot we to entertain both children and adults.  We were in toen on business and brought our kids to enjoy some games and pizza.  I was extremely impressed by quality of pizza and salad bar. We had a great time and our girls were very happy. Thanks for the family fun.,Valid,"The review describes a genuine family experience at Chuck E. Cheese, mentioning specific aspects like games, pizza, and salad bar that align with the business description and categories. The 5-star rating is consistent with the positive experience described.",Chuck E. Cheese,"Kid-friendly chain known for its arcade games, pizza parties, play zones & mouse mascot.","[""Children's amusement center"", 'American restaurant', ""Children's party service"", 'Family restaurant', 'Pizza restaurant', 'Video arcade']"
AMC CLASSIC Missoula 12,Great theater,Valid,The review provides a genuine positive assessment of the movie theater with a 5-star rating that matches the positive sentiment. The text 'Great theater' is directly relevant to the business category and description.,AMC CLASSIC Missoula 12,"Cineplex with 3D & jumbo digital screens showing first-run films, opera productions & sports events.",['Movie theater']
Wendy's,Great experience in drive thru. My order was taken without hassle and misunderstandng. Personal were pleasant and polite food was done fast and hot.,Valid,"The review describes a genuine dining experience at Wendy's, specifically mentioning the drive-thru service, staff interaction, and food quality. The 4-star rating is consistent with the positive experience described, and the content is directly relevant to the fast-food restaurant.",Wendy's,Fast-food burger chain serving sides such as chili & baked potatoes.,"['Fast food restaurant', 'Hamburger restaurant', 'Restaurant']"
Three In The Side,the bartender guy tonight was pretty awesome.,Valid,"The review describes a genuine experience at the pool hall, mentioning the bartender which is relevant to the business type, and the 4-star rating is consistent with the positive comment.",Three In The Side,,['Pool hall']
Red Robin Gourmet Burgers and Brews,Slightly overpriced but good iverall,Valid,"The review provides a genuine assessment of the restaurant experience, commenting on pricing and overall quality, which is directly relevant to Red Robin's burger restaurant business. The 4-star rating aligns with the 'good overall' but 'slightly overpriced' feedback.",Red Robin Gourmet Burgers and Brews,Chain for gourmet burgers & other American comfort fare.,"['Restaurant', 'American restaurant', 'Hamburger restaurant', 'Takeout Restaurant']"
"Motel 6 Missoula, MT - University",Staff was not very friendly at check in,Valid,"The review describes a genuine experience at the motel regarding staff friendliness during check-in, which is directly relevant to the hotel/motel service. The 1-star rating is consistent with the negative feedback about unfriendly staff.","Motel 6 Missoula, MT - University",No-nonsense rooms & studios in a simple motel with complimentary Wi-Fi & parking.,"['Motel', 'Hotel']"
The Montana Club Restaurant,"Very good food,  nice atmosphere,",Valid,"The review describes a genuine dining experience with positive feedback about food quality and atmosphere, which directly relates to The Montana Club Restaurant's American dining establishment. The 5-star rating is consistent with the positive comments.",The Montana Club Restaurant,,"['American restaurant', 'Family restaurant', 'Lounge', 'Seafood restaurant', 'Steak house']"
Dragon Palace,"Food was decent for a cheap chinese restaurant. Service was curt and a little reluctant; simple requests were met with resistance, like asking for paper to-go containers instead of styrofoam (an allergy related request)  we were lectured and made fun of.",Valid,"The review provides a genuine experience at the Chinese restaurant, describing specific details about the food quality, service interactions, and a particular incident with to-go containers. The 3-star rating is consistent with the mixed review (decent food but poor service).",Dragon Palace,,['Chinese restaurant']
Vegas Hotel,Ritz Carlton ain't got nothing on the Vegas Hotel!,Valid,"The review compares Vegas Hotel favorably to Ritz Carlton, which is a relevant comment about the hotel's quality and service level. The 3-star rating with positive comparison suggests a genuine experience at the location.",Vegas Hotel,"Pared-back rooms in a hotel offering a bar/casino, an outdoor pool & free breakfast.",['Hotel']
Glacier National Park,Beautiful,Valid,"The review provides a genuine positive assessment of Glacier National Park with a 5-star rating. While brief, the word 'Beautiful' is directly relevant to describing the park's landscapes and scenery, which aligns with the business description mentioning 'diverse landscapes' and the category as a national park and tourist attraction.",Glacier National Park,,['Lodging']
Midas,Good.,Valid,"The review provides a brief but genuine assessment of the auto repair shop with a 3-star rating and 'Good' comment, which is relevant to the business category and indicates a real experience.",Midas,,"['Auto repair shop', 'Brake shop', 'Muffler shop', 'Oil change service', 'Tire shop']"
Best Western Plus Grantree Inn,What really stood out and why I rated our stay excellent was Jenni at the front desk. She was so sweet and helpful! The hotel itself is very clean and upgraded. Will come again.,Valid,"The review describes a genuine hotel stay experience, specifically mentioning the front desk staff (Jenni), cleanliness, and upgrades. The 5-star rating is consistent with the positive feedback about the hotel service and facilities.",Best Western Plus Grantree Inn,"Hotel featuring an indoor pool, a bar & a restaurant, plus free parking.",['Hotel']
Country Pride,Adrienne our waitress was wonderful!!  The food was great:). Thank you!,Valid,"The review describes a genuine dining experience at the restaurant, mentioning specific details about the waitress (Adrienne) and positive feedback about the food. The 5-star rating is consistent with the positive text.",Country Pride,,['Restaurant']
The Stone of Accord,Overpriced for the quality of food. Overpriced beer. Slow service. Poor menu descriptions on some of the items.,Valid,"The review provides specific feedback about food quality, beer pricing, service speed, and menu descriptions, which are all relevant aspects of dining at an Irish pub/restaurant. The 2-star rating is consistent with the negative but detailed critique of the establishment.",The Stone of Accord,"Casual restaurant & bar offering American & Irish comfort food, plus a weekend brunch.","['Irish pub', 'Bar', 'Casino', 'Liquor store']"
MUDMAN Columbia Falls,"Best burger I've had in the valley, and it's not really close.",Valid,"The review describes a genuine dining experience at a hamburger restaurant, praising the quality of the burger. The 5-star rating is consistent with the highly positive text, and the content is directly relevant to the business category.",MUDMAN Columbia Falls,,"['Hamburger restaurant', 'Restaurant']"
777 Fitness & Wellness Center,Great people,Valid,"The review 'Great people' with a 5-star rating is relevant to the fitness center, as it describes the staff/community experience at the location, which is appropriate for evaluating a fitness and wellness facility.",777 Fitness & Wellness Center,,"['Fitness center', 'Class']"
Red Lion Inn & Suites Missoula,No ventilation. Room smelled like an old gym bag and rotten swimwear.,Valid,"The review describes a genuine stay experience at the hotel, mentioning specific issues with room ventilation and smell. The 2-star rating is consistent with the negative feedback about the accommodation quality.",Red Lion Inn & Suites Missoula,"Classic lodging offering free parking, breakfast & Wi-Fi, plus a 24/7 cafe & a seasonal pool.",['Hotel']
Madison Foods,"The cashiers are super super polite here it's always an enjoyable experience. Unfortunately the only downside of this place is the food is severely overpriced... I usually go to Dollar Store next door to buy all my paper, cleaning products, cat items, and other things that aren't food to save money. I wish some of the stuff was cheaper and I can tell you from experience and some from Atlanta that there are some items that are grossly overpriced like Lean Cuisine and Campbell Soup unbelievable and garlic at 6.79 a pound? I just wish there was more competition so they could lower the price of their food.  I think it's price gouging frankly. Otherwise it's a pleasant place and I love the music they play. My wallets not so happy in the end unfortunately.",Valid,"The review provides a genuine, detailed experience about Madison Foods grocery store. The reviewer discusses specific aspects relevant to the business: cashier service, food pricing, product selection (Lean Cuisine, Campbell Soup, garlic), and overall shopping experience. The 2-star rating aligns with the mixed review content (positive service, negative pricing concerns).",Madison Foods,,"['Grocery store', 'Bakery', 'Beer store', 'Box lunch supplier', 'Deli', 'Ice supplier', 'Wine store']"
Museum of the Rockies,Great place! Alot of cool.stuff!,Valid,"The review expresses a positive experience at the Museum of the Rockies with a 5-star rating. Despite the brief and informal language ('Alot of cool.stuff!'), the content is relevant to the museum and reflects a genuine visitor experience.",Museum of the Rockies,"Venue with a vast collection of dinosaur fossils, along with exhibits of regional & native history.","['Museum', ""Children's museum"", 'Gift shop', 'History museum', 'Planetarium', 'Science museum', 'Tourist attraction']"
White Earth Campground,"The campground is looking great this year. The site pads are very nice and the new trees are looking great.  We always look forward to our regular guests coming back as well as all the new guests we get to meet.  We call this home and hope all our guests enjoy their visit here with us. Enjoyable fishing, swimming, boating and relaxing to be had by all.",Advertisement,"The review is written from the perspective of the business owner/staff ('We always look forward to our regular guests', 'We call this home', 'hope all our guests enjoy their visit here with us'), making it promotional content rather than a genuine customer review.",White Earth Campground,,['Campground']
Muzzle Loader Cafe,The chicken fried steak is amazing!,Valid,"The review describes a genuine dining experience at the restaurant, mentioning a specific menu item (chicken fried steak) which aligns with the business description of serving traditional American fare. The 5-star rating is consistent with the positive feedback.",Muzzle Loader Cafe,"Down-home sports bar serving pub grub & traditional American fare for breakfast, lunch & dinner.","['Restaurant', 'Breakfast restaurant']"
Christina's Cocina Cafe,Great authentic Mexican food!,Valid,"The review describes a genuine dining experience with authentic Mexican food, which directly relates to the business category of 'Mexican restaurant' and 'Latin American restaurant'. The 5-star rating is consistent with the positive feedback.",Christina's Cocina Cafe,,"['Mexican restaurant', 'Latin American restaurant']"
NAPA Auto Parts - J & M Auto Parts,Also willing to help,Valid,"The review text 'Also willing to help' is relevant to an auto parts store, as it describes positive customer service experience. The 5-star rating is consistent with the positive sentiment about helpful staff.",NAPA Auto Parts - J & M Auto Parts,,"['Auto parts store', 'Trailer supply store', 'Truck accessories store']"
Ciao Mambo,"Decent Italian restaurant for Billings but not fantastic if you're from a larger city. That being said, if you're in Billings for more than a day, it's worth visiting.
The red sauce is roasted garlic marinara, and there's just too much garlic. Unfortunately, if you want red sauce, there's no way to escape it.
Everything else was good but not great.
Fortunately, it is open in Mondays when almost every other restaurant is closed. (Presumably, the citizens of south, central Montana fast on Mondays.)",Valid,"The review provides a detailed and genuine dining experience at an Italian restaurant, discussing specific aspects like the red sauce, garlic marinara, service hours, and comparing it to other restaurants. The 4-star rating is consistent with the mixed but generally positive feedback about the food and service.",Ciao Mambo,"Local chain serving a menu of Italian dishes & wine in relaxed, art-filled surroundings.",['Italian restaurant']
Missoula Food Bank & Community Center,Great place!!!,Valid,"The review expresses a positive sentiment with a 5-star rating that is consistent with the enthusiastic text. While brief, the comment 'Great place!!!' is relevant to the food bank and community center, indicating a genuine positive experience at the location.",Missoula Food Bank & Community Center,,"['Food bank', 'Non-profit organization']"
Mr Thrifty Foods,GOOD reduced  price good groceries,Valid,"The review describes a genuine experience at the grocery store, mentioning 'reduced price good groceries' which is relevant to the business category of grocery/supermarket, and the 4-star rating is consistent with the positive sentiment.",Mr Thrifty Foods,,"['Grocery store', 'Dairy store', 'Pet supply store', 'Produce market', 'Supermarket']"
Vigilante Campground,Love going hiking there with my kids.,Valid,"The review describes a genuine outdoor experience at a campground, mentioning hiking with kids, which is relevant to the campground category and consistent with the 5-star rating.",Vigilante Campground,,['Campground']
Walmart Supercenter,"There are always lines, and they recently remodeled the inside and no one knows where anything is. Can become very frustrating.",Valid,"The review describes a genuine shopping experience at Walmart, mentioning specific issues like long lines and confusion after remodeling. The content is directly relevant to the department store and the 3-star rating reflects the mixed experience described.",Walmart Supercenter,,"['Department store', 'Clothing store', 'Craft store', 'Electronics store', 'Furniture store', 'Grocery store', 'Hardware store', 'Home goods store', 'Sporting goods store', 'Toy store']"
"The Huckleberry Patch Arlee, MT",Great selection of Montana gifts!,Valid,"The review describes a genuine experience at the gift shop, mentioning 'Montana gifts' which is relevant to both the business category (Gift shop) and location (Arlee, MT). The 4-star rating is consistent with the positive comment.","The Huckleberry Patch Arlee, MT",,"['Gift shop', 'Restaurant']"
Albertsons,Over all not bad still like Wal-Mart and safe way better,Valid,"The review provides a genuine comparative opinion about the grocery store, mentioning preference for competitors (Walmart and Safeway) while giving an overall assessment. The 4-star rating aligns with the 'not bad' sentiment, and the content is directly relevant to the grocery store business.",Albertsons,,"['Grocery store', 'Pharmacy']"
Albertsons,Great deli great prices and selection great customer care,Valid,"The review describes a genuine shopping experience at the grocery store, praising the deli, prices, selection, and customer service. The 5-star rating is consistent with the positive feedback about store attributes.",Albertsons,,"['Grocery store', 'Pharmacy']"
Horn and Cantle,"A fine dining option outside of Bozeman that provides a high level of experienced service. This place is always booked out for at least a month, and we wanted a reservation within the week so ended up taking a 9PM spot. This turned into 9:15, but we didn't care since we were busy chatting with the bartender and enjoying our handcrafted cocktails.

Dinner started with an incredibly knowledgeable server who encouraged menu questions and offered suggestions without being pushy. We ended up getting the fondue, elk bolognese, and fried chicken bucket.

The fondue was devine, and we ate all of it even though we had already eaten plenty of the complimentary bread. The elk bolognese was nice, but I could have done without the housemade pappardelle- it was thick and stuck together, making it tricky to eat. The fried chicken feast was the star of the show- amazing chicken, amazing sides. We left fat and happy.",Valid,"The review provides a detailed and genuine dining experience at Horn and Cantle, describing specific dishes (fondue, elk bolognese, fried chicken), service quality, ambiance, and reservation details. The content is highly relevant to the restaurant's description as a fine dining establishment with American cuisine, and the 5-star rating aligns with the overall positive experience described.",Horn and Cantle,All-day restaurant with a focus on rustic American cuisine & steaks in a modern log-cabin setting.,"['Fine dining restaurant', 'American restaurant', 'Bar', 'Family restaurant']"
Lincoln Lanes,"Bowling is fun when there is an employee there to assist. Last time we went, they didn't have an employee there that was trained on the bowling alley part of it, so we got moved to other lanes when a ball or pin got stuck.",Valid,"The review describes a genuine bowling experience at Lincoln Lanes, mentioning specific issues with employee assistance and lane maintenance. The content is directly relevant to the bowling alley business, and the 3-star rating aligns with the mixed experience described.",Lincoln Lanes,,"['Bowling alley', 'Sports complex']"
Somers Bay Cafe,"Not what we expected based on the reviews. We were not greeted anytime at entrance or 5 minutes after when we finally stopped someone to see if we could seat ourselves. Our order was messed up on three separate items, with the waitress throwing the cook under the bus, not sure missing a cup of milk was the cook’ s fault actually. They never removed plates long after they were done, just part and parcel for this experience I suppose. Food was good, not great.",Valid,"The review describes a genuine dining experience at Somers Bay Cafe, detailing specific issues with service (lack of greeting, order mistakes, slow plate removal) and food quality. The 3-star rating is consistent with the mixed feedback provided.",Somers Bay Cafe,,['Cafe']
PetSmart,Very friendly and helpful. Staff was right there to help me find what I needed. And the items o needed were cheaper there then where i use to get them. THANKS GUYS...,Valid,"The review describes a genuine shopping experience at PetSmart, mentioning helpful staff, finding needed items, and competitive pricing. The 5-star rating is consistent with the positive experience described, and the content is clearly relevant to a pet supply store.",PetSmart,"Chain featuring a range of pets, supplies & food (most offer grooming, boarding & other services).","['Pet supply store', 'Pet adoption service', 'Pet groomer', 'Pet trainer']"
Caras Park,Beautiful,Valid,"The review 'Beautiful' with a 5-star rating is relevant to Caras Park, which is described as a grassy park and tourist attraction. The positive adjective appropriately describes the park experience.",Caras Park,This grassy park hosts music & other cultural events throughout the year.,"['Park', 'Tourist attraction']"
Verizon Authorized Retailer - Cellular Plus,Zach and Lincoln,Irrelevant,"The review text 'Zach and Lincoln' consists only of two names with no context or relation to the cell phone store business, making it completely irrelevant to the location, service, or experience.",Verizon Authorized Retailer - Cellular Plus,,"['Cell phone store', 'Cell phone accessory store']"
