Business: Haci'nin Yeri - Yigit Lokantasi | Author: Gulsum Akar | Rating: 5 | Category: taste | Comment: We went to Marmaris with my wife for a holiday. We chose this restaurant as a place for dinner based on the reviews and because we wanted juicy food. When we first went there was a serious queue. You proceed by taking the food you want in the form of an open buffet. Both vegetable dishes and meat dishes were plentiful. There was also dessert for those who wanted it. After you get what you want you pay at the cashier. They don't go through cards they work in cash. There was a lot of food variety. And the food prices were unbelievably cheap. We paid only 84 TL for all the meals here. It included buttermilk and bread. But unfortunately I can't say it's too clean as a place..,reasonable_comment
Business: Pizza Fellas | Author: Kadir Tasci | Rating: 5 | Category: indoor_atmosphere | Comment: The ambiance of the place is nice; when we went; there was a lot of queue; and after waiting for a while; they took our place. The friend who took our order said half a half pizza and we preferred half chicken and half steak. Two people were easily satisfied; a lot of patterns.,reasonable_comment
"Business: Pizza Fellas | Author: Serkan Colak | Rating: 2 | Category: taste | Comment: Flavor : It has nothing but dough taste. Labor : Not befitting a touristic place. Service : There was no wet wipes and napkins on the table, but there was no sympathetic family to say. This service and this taste were not available at this price.",reasonable_comment
Business: Pizza Fellas | Author: Selim Cun | Rating: 4 | Category: indoor_atmosphere | Comment: It is in the center; easy to reach; close to the parking lot; the prices are partially affordable; the products are delicious but not quite satisfying; the seating places are cramped; the place is a little flat.,reasonable_comment
Business: Pizza Fellas | Author: Zeki Celik | Rating: 5 | Category: outdoor_atmosphere | Comment: They make delicious pizza with nice ingredients on thin dough. Slice pizza and all pizza options are available. You can try two different flavors as a whole by making two different choices for the whole pizza. We wanted the mushroom and sausage. It was very nice; warm; and it was cooked in its consistency without drying the ingredients.,reasonable_comment
Business: Pizza Fellas | Author: Mustafa Caliskan | Rating: 3 | Category: taste | Comment: It's in a nice place but it's very small and their pizza is not that good to be exaggerated. Pizza dough is nice and thin. They do not offer advice to the customer.,reasonable_comment
Business: Pizza Fellas | Author: Deniz Bilgin | Rating: 5 | Category: outdoor_atmosphere | Comment: I strongly recommend. If I come to the taste part; it was very enjoyable to eat with their special sauces. Also the whole pizza was huge.,reasonable_comment
Business: Pizza Fellas | Author: Cihan Tas | Rating: 4 | Category: menu | Comment: It is very tasty; similar to Italian pizzas. Roast beef and mohair 180 TL; other pizzas 150 TL. An adult male eats 6 slices; pizzas are one size and 8 slices.,reasonable_comment
Business: Pizza Fellas | Author: Seda Sinem | Rating: 5 | Category: taste | Comment: Do not come around Marmaris and do not leave without eating pizza at Pizza Fellas. We ate mixed pizza; they can make two types of pizza. So delicious!,reasonable_comment
Business: Pizza Fellas | Author: Nesrin Kuyumcu | Rating: 5 | Category: menu | Comment: I never thought that the best pizza I've ever eaten would be in Akyaka. Thin pizzas are very tasty and the options are very good. We recommend it to everyone who comes to Akyaka.,reasonable_comment
Business: Pizza Fellas | Author: Okan Uslu | Rating: 4 | Category: indoor_atmosphere | Comment: It was as if a very delicious Italian chef had come out of his hands. You can eat with pleasure. The owners are very good people. I recommend.,reasonable_comment
Business: Pizza Fellas | Author: Huseyin Uysal | Rating: 4 | Category: taste | Comment: The pizza is big enough for 2 people. The dough is very thin. Price is between 120-140 TL.,reasonable_comment
Business: Cafe Inn | Author: Dila Kocatepe | Rating: 5 | Category: indoor_atmosphere | Comment: The environment; the interest and friendliness of the employees; the taste is incredible. It is so beautiful inside that you do not prefer to sit at the bottom of the sea. Depending on the day; there are also things that are not written on the menu; be sure to check it out. Hours have passed since the meal; we are still talking about the beef brisket.,reasonable_comment
Business: Cafe Inn | Author: Hooman Sadati | Rating: 1 | Category: taste | Comment: Without any taste how they are at the first rank!!!! We ate cafe Inn pizza. It was 70 tl.,reasonable_comment
Business: Cafe Inn | Author: Serap Gunay | Rating: 5 | Category: indoor_atmosphere | Comment: Pizza is delicious.. I can say it is one of the rare tastes. Prices are in the 200-300 range and one pizza is more than enough for two people if you are not very hungry. The scenery is already gorgeous.,reasonable_comment
Business: Cafe Inn | Author: Tugba Gunaydin | Rating: 4 | Category: menu | Comment: The vegan breakfast made me extremely happy. It was nice.,reasonable_comment
Business: Cafe Inn | Author: Can Ozdemir | Rating: 5 | Category: outdoor_atmosphere | Comment: Whatever we ate was good. The Italian Restaurant is the first thing that comes to mind; apart from pizza and pasta; ciger yahni was successful; purslane salad; presentations are successful. Taste point in Datca.,reasonable_comment
Business: Cafe Inn | Author: Berk Basarir | Rating: 5 | Category: taste | Comment: Very enjoyable beautiful place. Pizza salad food taste is great.,reasonable_comment
Business: Cafe Inn | Author: Mert Ozer | Rating: 4 | Category: indoor_atmosphere | Comment: Its breakfast is more satisfying than the places around it.,reasonable_comment
Business: Cafe Inn | Author: Kain Dijkman | Rating: 5 | Category: outdoor_atmosphere | Comment: Nice intimate restaurant. Good service. Eye for detail. Clean. Really good food; well presented.,reasonable_comment
Business: Cafe Inn | Author: Sarp Kendirci | Rating: 3 | Category: menu | Comment: The food is delicious but a little pricey. The best Cappucino in Datça is here..,reasonable_comment
Business: Cafe Inn | Author: Zafer Togay | Rating: 5 | Category: taste | Comment: It's a very delicious; beautiful small business; but the appointment is a bit difficult to find; the pizzas are great Cafe Inn pizza and a wonderful 4 cheese and brownie as dessert. Thank you for your good wishes.,reasonable_comment
Business: Cafe Inn | Author: Eren Kesti | Rating: 2 | Category: outdoor_atmosphere | Comment: When I went; I waited for almost 20 minutes for the waiters to take care of me. The taste was not bad. The surrounding was beautiful.,reasonable_comment
"Business: Riviera | Author: Olgayali Yilmaz | Rating: 3 | Category: menu | Comment: It is a very, very expensive place. It took 30 minutes for 2 drinks to arrive.",reasonable_comment
Business: Riviera | Author: Gorkey Bardakci | Rating: 5 | Category: taste | Comment: I had the creamy chicken vegetable stew. It tasted excellent. It was quite satisfying. The environment is beautiful and spacious.,reasonable_comment
Business: Riviera | Author: Mehmet Yaliniz | Rating: 5 | Category: outdoor_atmosphere | Comment: quality service and rich menu. the attitude of the staff is really excellent. A business that deserves 5 stars.,reasonable_comment
Business: Riviera | Author: Goksel Aybek | Rating: 2 | Category: taste | Comment: The sushi was too small so it was not possible to taste the ingredients; the rice was overcooked and lacked flavor; it was missing except for the tail of the shrimp.,reasonable_comment
Business: Riviera | Author: Cahide Koral | Rating: 4 | Category: indoor_atmosphere | Comment: The staff was very engaged. Service and taste were perfect.,reasonable_comment
Business: Riviera | Author: Aya Zhol | Rating: 4 | Category: outdoor_atmosphere | Comment: Perfect location next to the sea. Music; light in the evening lounge atmosphere. In short; everything is beautiful.,reasonable_comment
"Business: Riviera | Author: Metin Tumay | Rating: 2 | Category: menu | Comment: It was very expensive, but taste wasn't bad.",reasonable_comment
Business: Riviera | Author: Yılmaz Unal | Rating: 5 | Category: indoor_atmosphere | Comment: Good quality service; nice customer service; they are happy to help with a smile.,reasonable_comment
Business: Riviera | Author: Alex Aali | Rating: 2 | Category: taste | Comment: Scrambled eggs with casserole and toast waited 30 minutes. At 12:30pm the main menu was denied and showed only breakfast available. Prices are much higher than other places.,reasonable_comment
"Business: Riviera | Author: Yahya Nawar | Rating: 3 | Category: outdoor_atmosphere | Comment: Nice view, good staff, clean place and nice atmosphere.",reasonable_comment
Business: Riviera | Author: Nirmal Narayan | Rating: 5 | Category: indoor_atmosphere | Comment: Nice food and good service; located just near the beach as well.,reasonable_comment
Business: Sakip Usta Gaziantep | Author: Gamze Aciogli | Rating: 4 | Category: taste | Comment: It was very nice to be greeted with a smile when we first entered; we went with my wife; the services are very fast; the empty services are removed immediately; the washbasins were hygienic and clean; and I would recommend a very reasonable place.,reasonable_comment
Business: Sakip Usta Gaziantep | Author: Murat Erdemir | Rating: 4 | Category: outdoor_atmosphere | Comment: Kebabs are good; trotters are good; desserts are good. Actually; the decor part of the atmosphere is good. Only a lot of noise comes from the kitchen part. Employees are smiling.,reasonable_comment
Business: Sakip Usta Gaziantep | Author: Berat Türk | Rating: 5 | Category: indoor_atmosphere | Comment: If you come to Antep; sit down and taste the Beyran soup; served plain and with garlic.,reasonable_comment
Business: Sakip Usta Gaziantep | Author: Agah Beyoglu | Rating: 4 | Category: taste | Comment: I asked for garlic; but I had a hard time getting the taste of the meat from the garlic flavor. I'll try again with little or no garlic. Quite satisfying. I like the taste too; you should definitely try it.,reasonable_comment
Business: Sakip Usta Gaziantep | Author: Serap Keskin | Rating: 4 | Category: menu | Comment: Taste was amazing! Price was not high.,reasonable_comment
Business: Sakip Usta Gaziantep | Author: Ahmet Coban | Rating: 2 | Category: indoor_atmosphere | Comment: When I ate it in the past; it tasted very good; I think the chef has changed. The atmosphere was average.,reasonable_comment
Business: Sakip Usta Gaziantep | Author: Huseyin Bulut | Rating: 5 | Category: taste | Comment: We were very satisfied. I strongly recommend trying it. Delicious appetizers come with the meals.,reasonable_comment
Business: Sakip Usta Gaziantep | Author: Merve Balci | Rating: 3 | Category: outdoor_atmosphere | Comment: The food tastes good. The atmosphere of the place was not very attractive.,reasonable_comment
Business: Sakip Usta Gaziantep | Author: Goktug Yigit | Rating: 4 | Category: taste | Comment: We ate 1 mumbar and 1 kusleme and paid 310 TL. The meals were very tasty.,reasonable_comment
Business: Sakip Usta Gaziantep | Author: Kutay Demir | Rating: 5 | Category: menu | Comment: Very cheap and delicious!,reasonable_comment
Business: Sakip Usta Gaziantep | Author: Ali Kaya | Rating: 5 | Category: indoor_atmosphere | Comment: Ayran came when the meal was over; the food was very bitter.,reasonable_comment
Business: Imam Cagdas | Author: Mustafa Ay | Rating: 5 | Category: outdoor_atmosphere | Comment: Although the prices are a little high; the quality is high so it does not disappoint. The taste was very good; well done!,reasonable_comment
Business: Imam Cagdas | Author: Yalcin Cokzehir | Rating: 2 | Category: taste | Comment: We ordered Etli Ali Nazik Kebab. They said he was the most famous. We ate meat with yogurt. The food was cold.,reasonable_comment
Business: Imam Cagdas | Author: Yusuf Gur | Rating: 4 | Category: menu | Comment: We came because it is a very famous place. They had really delicious food.,reasonable_comment
Business: Imam Cagdas | Author: Humeyra Akyuz | Rating: 3 | Category: indoor_atmosphere | Comment: Ali nazik was 240 tl lahmacun 50 tl even tea with a fee of 5 tl. We visited so many places; this was the most expensive.,reasonable_comment
Business: Imam Cagdas | Author: Muhammet Ikbal | Rating: 5 | Category: taste | Comment: The taste was very good but the prices were also very high.,reasonable_comment
Business: Imam Cagdas | Author: Olcay Akin | Rating: 5 | Category: outdoor_atmosphere | Comment: Located in Gaziantep historical bazaar; the place stands out with its beautiful and spacious ambiance. I liked the place very much; we came for dessert after dinner.,reasonable_comment
Business: Imam Cagdas | Author: Duygu Er | Rating: 5 | Category: indoor_atmosphere | Comment: I had the chance to taste many flavors; all of them were very good; I was amazed by Ali Nazik Kebab.,reasonable_comment
Business: Imam Cagdas | Author: Ceylan Birgun | Rating: 1 | Category: menu | Comment: The restaurant that made our four-day Gaziantep holiday poison! There is already excessive noise; it is impossible to hear the person next to you. The waiters are indifferent; the order takes too long to arrive.,reasonable_comment
"Business: Imam Cagdas | Author: Hakan Unveren | Rating: 1 | Category: taste | Comment: They sold us rotten pistachios, it sucks!",rants
Business: Imam Cagdas | Author: Hakan Solak | Rating: 2 | Category: indoor_atmosphere | Comment: I don't know why we ate here despite the exorbitant prices. A portion of kebab or sis meat product starts from 220 TL as of the end of June 2023. Naturally; you expect a good portion; but a tiny portion in the middle of the plate.,reasonable_comment
"Business: Imam Cagdas | Author: Sinan Ozen | Rating: 5 | Category: outdoor_atmosphere | Comment: A great business that does not compromise on its taste; lahmacun, garlic kebab; yoghurt kebab; the smile of the waiters; everything is in place; thank you very much for the nice service and delicious food.",reasonable_comment
Business: Gold Semaver | Author: Tarik Yuce | Rating: 5 | Category: taste | Comment: The breakfast was very good; I recommend it; the presentations were also eye-catching. We paid 240tl for the table you see in the photo; including 6 teas and 2 Turkish coffees.,reasonable_comment
Business: Gold Semaver | Author: Yasemin Uzuner | Rating: 4 | Category: outdoor_atmosphere | Comment: The place is beautiful. The staff was very nice. We asked for tiramisu. It was very fresh and beautiful.,reasonable_comment
Business: Gold Semaver | Author: Gokhan Efe | Rating: 5 | Category: indoor_atmosphere | Comment: Beautiful place. The breakfast is said to be good. I had tea in the evening; it was delicious. It tastes like a samovar. The environment is calm. The music is jazz style; suitable for the calm and soft atmosphere.,reasonable_comment
Business: Gold Semaver | Author: Bunyamin Engin | Rating: 5 | Category: menu | Comment: Hookah and ambiance is super!,reasonable_comment
Business: Gold Semaver | Author: Mehmet Mercan | Rating: 3 | Category: taste | Comment: They have a problem with the service; but if you're going to drink tea; they do it well. Your tea is always hot over the fire.,reasonable_comment
Business: Gold Semaver | Author: Hakan Tekelioglu | Rating: 1 | Category: taste | Comment: Some of the coffee I wanted came spilled; the coffee tasted dry. Also; my wife's order was wrong.,reasonable_comment
Business: Gold Semaver | Author: Mehrin Kuru | Rating: 4 | Category: outdoor_atmosphere | Comment: Great.,reasonable_comment
Business: Gold Semaver | Author: Geordon Omand | Rating: 5 | Category: indoor_atmosphere | Comment: Lovely; affordable seafront spot to while away the afternoon smoking nargile and playing backgammon (tavla). Super hospitable employees and enjoyable ambience.,reasonable_comment
Business: Gold Semaver | Author: ALi Bes | Rating: 4 | Category: taste | Comment: A cheap and delicious place. If you are passing by; you should not continue without having a cup of tea.,reasonable_comment
Business: Gold Semaver | Author: Bayram Kale | Rating: 5 | Category: outdoor_atmosphere | Comment: Seaside great view!,reasonable_comment
Business: Gold Semaver | Author: Beril Kendirci | Rating: 4 | Category: menu | Comment: Prices are nice,reasonable_comment
Business: Fethiye Dondurmacisi | Author: Yeliz Eker | Rating: 5 | Category: taste | Comment: Bitter; mango; Bodrum tangerine; honey almond; Big Babas; mastic gum; walnut; blackberry and forest fruit definitely recommend..,reasonable_comment
Business: Fethiye Dondurmacisi | Author: Murat Yesilci | Rating: 5 | Category: indoor_atmosphere | Comment: The prices are cheap from the center; the ice cream is legendary; don't miss out; it's worth waiting in line; it's the best ice cream shop in Fethiye. Real milk ice cream,reasonable_comment
Business: Fethiye Dondurmacisi | Author: Arch Ao | Rating: 5 | Category: outdoor_atmosphere | Comment: Absolutely perfect come try it..,reasonable_comment
Business: Fethiye Dondurmacisi | Author: Zloy Grazhdanin | Rating: 1 | Category: taste | Comment: Terrible. This is a lie. This is not ice cream! This gum is an ice cream substitute.,rants
Business: Fethiye Dondurmacisi | Author: Aygun Nurca | Rating: 4 | Category: indoor_atmosphere | Comment: As I was crossing the road; I noticed that we stopped. The light ad is very good because everything has ice cream icons. The only normal price I've seen in Fethiye is 6 TL.,reasonable_comment
Business: Fethiye Dondurmacisi | Author: Bekir Tunca | Rating: 3 | Category: outdoor_atmosphere | Comment: The atmosphere of the place was nice; if you want to taste the ice creams; I can say that it is an ordinary ice cream that you can eat anywhere.,reasonable_comment
Business: Fethiye Dondurmacisi | Author: Batuhan Kinik | Rating: 2 | Category: taste | Comment: It literally gave me the feeling of chewing sugar. It's not even about ice cream.,rants
Business: Fethiye Dondurmacisi | Author: Semanur Cetin | Rating: 4 | Category: taste | Comment: We visited with my friends. The lemon one was great!,reasonable_comment
Business: Fethiye Dondurmacisi | Author: Derya Halis | Rating: 5 | Category: outdoor_atmosphere | Comment: A great taste. I went on recommendation; it was really true. I also recommend it to you.,reasonable_comment
Business: Fethiye Dondurmacisi | Author: Burak Aydogdu | Rating: 5 | Category: taste | Comment: Their prices are very reasonable and their ice creams are delicious. There is not only ice cream but also dessert sales inside. There are many options for ice cream; which is a very nice detail.,reasonable_comment
Business: Fethiye Dondurmacisi | Author: Ahmet Oz | Rating: 4 | Category: outdoor_atmosphere | Comment: On the way to the city center of Fethiye; a sweet place caught our attention. The ice cream cone-shaped totem on the road was very original.,reasonable_comment
Business: My Friends Burger | Author: Ilknur Guntepe | Rating: 4 | Category: indoor_atmosphere | Comment: The hamburger bread was very nice. I didn't like his meatballs very much.Orders are coming out very quickly; and the working friends are very kind; thank you.,reasonable_comment
Business: My Friends Burger | Author: Fethi Duhan Calik | Rating: 4 | Category: outdoor_atmosphere | Comment: A place that makes unorthodox burgers in Samsun. The hamburger bread is big and wide with lots of sesame seeds.,reasonable_comment
Business: My Friends Burger | Author: Gun Oksay | Rating: 5 | Category: indoor_atmosphere | Comment: It's a very nice place; the hamburger is very nice. The staff is very good; there is a children's playground,reasonable_comment
Business: My Friends Burger | Author: Hatice Isik | Rating: 2 | Category: taste | Comment: The place is nice; the waiters work sulkily. The location; service and presentation are beautiful. And his hamburger might be the most mediocre hamburger I've ever had. There is no meat taste in the meatball.,reasonable_comment
Business: My Friends Burger | Author: Olcay Albayrak | Rating: 3 | Category: indoor_atmosphere | Comment: Mushroom burger the meat stays thin inside the huge burger bread; and the meat and mushrooms do not stay in the bread because of the sauce applied on the bread.,reasonable_comment
Business: My Friends Burger | Author: Mahzun Zara | Rating: 5 | Category: menu | Comment: They have really saturated menus. The prices are very good; and as a place with a very nice interior and exterior decor with sea views; I would definitely recommend it at the same time.,reasonable_comment
Business: My Friends Burger | Author: Gonul Bilir | Rating: 1 | Category: taste | Comment: I never liked the service very bad; when we brought the wrong burger and returned it; we had to wait that much longer. The potatoes were terrible; the only onion rings and mushrooms were beautiful. I will never go to this place again.,reasonable_comment
Business: My Friends Burger | Author: Yunus Ercin | Rating: 3 | Category: outdoor_atmosphere | Comment: The burger is successful; but the service is very slow; I came to the place 2 times; they bring the order incorrectly.,reasonable_comment
Business: My Friends Burger | Author: Nilufer Yilmaz | Rating: 5 | Category: taste | Comment: The menu content is beautifully varied and satisfying.,reasonable_comment
Business: My Friends Burger | Author: Firat Ismail | Rating: 2 | Category: taste | Comment: The price was not right; I bought a 2-piece menu; the burger and bread did not taste good.,reasonable_comment
Business: My Friends Burger | Author: Ayhan Aydin | Rating: 4 | Category: menu | Comment: The prices were generally reasonable; the tastes were also good enough.,reasonable_comment
Business: Mcdonalds Fethiye | Author: Fatih Altinkaya | Rating: 5 | Category: indoor_atmosphere | Comment: The menus offered by the friendly staff are something else; the flavors we have tasted.,reasonable_comment
"Business: Mcdonalds Fethiye | Author: Suleyman Keskin | Rating: 4 | Category: taste | Comment: I would like to thank the service in Fethiye branch and especially Mr. Samet; the official here, for his interest and relevance.",reasonable_comment
Business: Mcdonalds Fethiye | Author: Di Nessa | Rating: 3 | Category: outdoor_atmosphere | Comment: The menu is incomplete; not much; usually a disaster with happy sweet toys; felt-tip pens and a few cardboard coloring pages.,reasonable_comment
Business: Mcdonalds Fethiye | Author: Ahmet Gedici | Rating: 4 | Category: menu | Comment: Taste is exactly the same as in classic hamburgers; prices are extra high.,reasonable_comment
Business: Mcdonalds Fethiye | Author: Metmet Sahin | Rating: 4 | Category: indoor_atmosphere | Comment: Every time I come to Fethiye; I stop by and fill my stomach with pleasure.,reasonable_comment
Business: Mcdonalds Fethiye | Author: Cagla Cemre | Rating: 4 | Category: taste | Comment: In general; everything was good; but the tables were not collected during the 35-45 minutes I was there. It was messy inside.,reasonable_comment
Business: Mcdonalds Fethiye | Author: Salih Ural | Rating: 3 | Category: outdoor_atmosphere | Comment: The ambiance of the place looks a bit old.,reasonable_comment
Business: Mcdonalds Fethiye | Author: Hatice Akin | Rating: 5 | Category: taste | Comment: They are very fast and the food tastes good too.,reasonable_comment
Business: Mcdonalds Fethiye | Author: Serafettin Ozturk | Rating: 2 | Category: taste | Comment: The potatoes were almost dead and tasteless.,reasonable_comment
Business: Mcdonalds Fethiye | Author: Kivanc Kulaksizoglu | Rating: 2 | Category: outdoor_atmosphere | Comment: I didn't like the gloomy; dark atmosphere of the environment; the toilets are dirty; you are disgusted to wash your hands.,reasonable_comment
Business: Mcdonalds Fethiye | Author: Serdar Yıldız | Rating: 1 | Category: menu | Comment: There was a hair in the fries; disgusting.,reasonable_comment
Business: Pukka Marmaris | Author: Brad Murphy | Rating: 4 | Category: taste | Comment: In terms of price; it is above Marmaris prices. In other words; there are menus with prices above the average. I was satisfied with almost everything I ate and drank.,reasonable_comment
Business: Pukka Marmaris | Author: Gursel Vatansever | Rating: 5 | Category: indoor_atmosphere | Comment: It is a place where the food is as amazing as the cocktails. The sole fish was very good. employees are very engaged.,reasonable_comment
"Business: Pukka Marmaris | Author: Ozgur Kaya | Rating: 3 | Category: menu | Comment: Slagethi all nero was excellent. Beef ribs were always tender enough. Cheek, on the other hand; has preserved its taste even though its collection is a little small. If deterioration was to come; the services were passed and the environment was much expected.",reasonable_comment
Business: Pukka Marmaris | Author: Can Oz | Rating: 4 | Category: outdoor_atmosphere | Comment: As we were passing on the road; it was pleasing to our eyes and we dived in. It was good overall.,reasonable_comment
Business: Pukka Marmaris | Author: Bekir Unsal | Rating: 5 | Category: taste | Comment: For people living in Marmaris; it is a beautiful place to visit in summer and winter. I recommend you to try liver because they serve it in a way I have never tried before and because of its amazing taste.,reasonable_comment
Business: Pukka Marmaris | Author: Huseyin Koca | Rating: 5 | Category: indoor_atmosphere | Comment: Wonderful place where you can go with your family and have fun; nice place with live music...,reasonable_comment
Business: Pukka Marmaris | Author: Taner Gun | Rating: 4 | Category: menu | Comment: Prices were slightly higher than peers.,reasonable_comment
Business: Pukka Marmaris | Author: Deniz Tekin | Rating: 4 | Category: indoor_atmosphere | Comment: Pukka is a restaurant by the sea where you will have the most beautiful pictures and videos where you can organize a nice organization in Marmaris.,reasonable_comment
Business: Pukka Marmaris | Author: Adem Can | Rating: 5 | Category: taste | Comment: Great concept and very tasty food.,reasonable_comment
Business: Pukka Marmaris | Author: Selcuk Uras | Rating: 5 | Category: outdoor_atmosphere | Comment: Popular place for Winter and Summer; food and drink menu wide enough and delicious.,reasonable_comment
Business: Pukka Marmaris | Author: Dogukan Mert | Rating: 4 | Category: menu | Comment: Delicious. However; prices are as high as Marmaris in general in 2021.,reasonable_comment
Business: Starbucks Bodrum | Author: Taner Bayburtlu | Rating: 5 | Category: indoor_atmosphere | Comment: The interior design is simple and pleasant; with balconies and upper floors with sea views.,reasonable_comment
"Business: Starbucks Bodrum | Author: Tugba Bal | Rating: 1 | Category: outdoor_atmosphere | Comment: I can say that my worst flat white experience. ""Would you like milk?"" they said. I drank more milk than coffee.",reasonable_comment
Business: Starbucks Bodrum | Author: Ahmet Gelegen | Rating: 5 | Category: outdoor_atmosphere | Comment: A great starbucks branch located in Bodrum center / bazaar / port. It's great because the layout; the environment; the place and the service are very successful.,reasonable_comment
Business: Starbucks Bodrum | Author: Sule Kivrak | Rating: 2 | Category: taste | Comment: The place is very narrow; I can say it's the worst starbucks I've ever seen.,rants
Business: Starbucks Bodrum | Author: Alparslan Alatur | Rating: 5 | Category: taste | Comment: It was a pleasant snack; a refreshing drink in hot weather.,reasonable_comment
"Business: Starbucks Bodrum | Author: Tugrul Gul | Rating: 4 | Category: indoor_atmosphere | Comment: The view is super, the cleanliness is bad, the location is very good",reasonable_comment
Business: Starbucks Bodrum | Author: Omer Kavak | Rating: 5 | Category: outdoor_atmosphere | Comment: The place is so sweet. but it gets too crowded in the evenings.,reasonable_comment
Business: Starbucks Bodrum | Author: Arif Kar | Rating: 3 | Category: menu | Comment: Familiar coffee that I taste,reasonable_comment
Business: Starbucks Bodrum | Author: Beril Yilmaz | Rating: 3 | Category: indoor_atmosphere | Comment: Had to stop by for a take out coffee during the morning hours.,reasonable_comment
Business: Starbucks Bodrum | Author: Mustafa Parlak | Rating: 5 | Category: indoor_atmosphere | Comment: Employees are very warm. in a very pleasant location.,reasonable_comment
Business: Starbucks Bodrum | Author: Yasemin Catalkaya | Rating: 4 | Category: taste | Comment: The employees are very good and caring. Best Starbucks..,reasonable_comment
Business: Churchill Bistro | Author: Sena Sarioglu | Rating: 5 | Category: taste | Comment: Here you can find by far the best 4-cheese pizza you can eat in Bodrum. On top of that; you may have reasons to come back again and again with the unusual taste and presentation of the magnolia.,reasonable_comment
Business: Churchill Bistro | Author: Elif Bengu | Rating: 5 | Category: outdoor_atmosphere | Comment: A place we found by chance during the winter season. First of all; we sat down to drink coffee and the environment was so spacious and calm that I was able to hold a meeting that I had to do over the web without any problems.,reasonable_comment
Business: Churchill Bistro | Author: Erkan Aka | Rating: 4 | Category: menu | Comment: I have never seen a pizza with such a thin pizza dough that the material did not fall apart. Pizza mista is a great choice for mixed lovers.,rants
Business: Churchill Bistro | Author: Baris Demirci | Rating: 4 | Category: indoor_atmosphere | Comment: It is a very nice place to watch the matches; when it is closed in winter.,reasonable_comment
Business: Churchill Bistro | Author: Sibel Sarihan | Rating: 5 | Category: taste | Comment: A pleasant place with a beach; delicious food,reasonable_comment
Business: Churchill Bistro | Author: Rumeysa Oncel | Rating: 5 | Category: menu | Comment: It is a place where you can both enter at home and spend time with pleasure and eat and drink. The beach is very beautiful; your sea is clean. The food is also very good.,reasonable_comment
